,내용
22,화학이 석유화학 분야 친환경 소재 육성을 위해 대규모 국내 투자에 나선다. 고부가 지속가능 사업과 친환경 소재 중심으로 사업구조를 본격 전환하기 위해서다.화학은 2028년까지 모두 2조6000억원을 투자해 충남 대산공장에 생분해성 농업용 일회용 필름 소재 및 태양광 필름용 등 총 10개의 공장을 신설한다고 19일 밝혔다. 화학은 올해 와 공장 착공을 시작으로 대산사업장을 2028년까지 바이오 기반 원료 생산부터 친환경 소재 폐플라스틱 재활용 온실가스 저감 등 기반 사업의 메카로 육성할 계획이다.연내 착공되는 공장은 연산 5만톤 공장은 연산 10만톤 규모로 건설될 예정이다. 두 공장 모두 2024년 상업생산을 목표로 한다. 이로 인한 매출 증대 효과는 연간 약 4700억원 이상으로 기대된다.업계에 따르면 와 는 트렌드에 따른 썩는 플라스틱 수요 증가와 신재생에너지 보급 확대 등으로 2025년까지 연평균 30 수준의 고성장을 이어갈 것으로 전망되고 있다. 는 자연에서 빠르게 분해되는 생분해성수지로 폐플라스틱 등 환경문제 해결에 큰 도움이 될 것으로 기대되고 있으며 는 절연성과 수분 차단성이 높고 발전 효율이 우수해 태양광 패널 보호 및 전력 손실을 최소화하는 필름용 수요가 급격히 증가하고 있다.한편 화학은 계획된 투자가 원활하게 추진될 수 있도록 충남도 및 서산시와 투자협약도 체결했다. 이 날 행사에는 양승조 충남도지사 맹정호 서산시장 등 지역 주요 인사들과 화학 신학철 부회장이 참석했다. 이번 협약으로 화학은 기존의 대산공장 부지 외 약 79만㎡24만평의 신규 부지를 추가로 확보했으며 신규 공장 설립 및 관련된 친환경 소재·공정 분야 투자에 적극 활용하기로 했다.화학은 이번 투자로 약 400명 직접 고용 창출 효과가 기대되며 지역 경제 활성화에도 적극 기여하겠다고 밝혔다. 신학철 화학 부회장은 이번 투자협약은 지속가능 성장 전략의 일환이자 친환경 소재 비즈니스의 본격화를 알리는 신호탄이라고 말했다.
23,건설장비시장에도 친환경 수소경제 바람이 불고 있다. 현대중공업그룹 계열사인 현대건설기계는 국내 최초로 13톤급 소형 수소지게차 개발에 나섰다고 17일 밝혔다. 현대건설기계는 앞서 중형 수소지게차를 개발해 상용화했다. 중형 수소지게차. 사진 현대건설기계 제공 현대건설기계는 수소 연료전지 전문기업 에스퓨얼셀과 수소 연료전지 지게차 보급 확대를 위한 공동 업무협약을 체결 소형 수소지게차 공동개발에 나섰다. 협약에 따라 현대건설기계는 수소지게차 생산과 파워팩 제어 및 통신시스템을 에스퓨얼셀은 수소 연료전지 파워팩의 개발과 생산을 담당한다. 소형 수소지게차는 대형 물류창고 등에서 활용될 예정이다. 미국에서는 월마트나 아마존 등 물류창고에 3만대 이상의 수소지게차가 활용되는 것으로 알려졌다. 현대건설기계는 수소지게차 라인업을 확대해 친환경 지게차 시장에서 선도적 입지를 굳혔다는 평가가 나온다. 에스퓨얼셀은 향후 안정적인 수소팩 공급처를 확보할 수 있게 돼 시너지 효과가 기대된다. 양사가 공동개발하는 지게차용 수소 연료전지 파워팩은 보다 안정화된 출력 성능을 기반으로 1회 충전 시 최대 8시간까지 작업이 가능하다. 현대건설기계는 국내에 수소충전소 등 관련 인프라가 구축될 것으로 예상되는 오는 2023년까지 소형 수소지게차 상용화를 완성할 방침이다. 에스퓨얼셀은 현재 국내 건물용 연료전지시장에서 50 이상 점유율을 차지하고 있다. 황종현 현대건설기계 산업차량 부문장은 2020년 현대모비스와 함께 국내 최초로 5톤급 중형 수소지게차 개발에 성공한 바 있다며 이번 에스퓨얼셀과 협업을 통해 물류창고에 특화된 13톤급 소형 수소지게차까지 제품군을 확대 친환경 물류사업을 선도해 나갈 것이라고 말했다.
24,중국 정부의 친환경·저탄소 정책 추진에 힘입어 중국내 펀드의 1년 수익률이 시장수익률보다 나은 것으로 분석됐다. 18일 중국 차이신은 중신증권과 빅데이터 분석기관인 즈딩테크의 보고서를 인용해 7월 테마펀드의 수익률이 300보다 높고 500보다는 낮았으며 1년 수익률은 300과 500을 5 이상 상회했다고 보도했다. 탄소 중립 에너지 절약 청정 생산 등 최근 중국 정부의 친환경 정책 추진으로 중국 내 펀드의 수익률이 양호하게 나타났다. 사진은 중국 류저우에 위치한 신에너지 자동차 공장 모습. 신화연합뉴스300는 상하이와 선전의 우량주 지수중국판 이며 500는 중소형주 지수를 뜻한다.보도에 따르면 2분기말 현재 중국내 전체 공모펀드 규모는 약 23조위안약 4168조원이다. 중신증권은 최근 정기 추적 보고서에서 7월 31일 현재 투자테마펀드가 26개로 297.12억위안 규모이며 개념펀드가 64개로 2444.23억위안 규모라며 이를 합한 총액은 약 2741억위안이라고 밝혔다. 엄밀한 의미에서는 펀드로 분류되지 않지만 큰 틀에서 펀드로 포함시킨 범테마펀드 규모는 약 1조2500억위안약 225조원이다.증시 약세로 7월 전체 펀드 절대수익률은 대체로 마이너스를 기록했다. 대형 우량주의 약세 속에서 중소형주 지수인 500이 우량주 지수 300을 크게 상회한 것으로 나타났다.중신증권이 집계한 7월 펀드 실적을 보면 투자테마펀드 수익 비교지수는 대부분 300과 500 사이에 있었다. 그 중 주식혼합형펀드 보통주펀드 탄력배치형펀드 인덱스펀드 수익률은 각각 1.24 5.64 5.51 6.86였는데 300 대비 초과 수익은 각각 9.14 2.26 2.39 1.05였고 500 대비 초과 수익은 1.84 5.04 4.91 6.26였다. 개념펀드 수익률 비교지수 역시 대부분 300과 500 사이였다.즈딩테크가 진행한 최근 한 달간 수익률 분석에서도 테마펀드 수익률은 300 추세와 비슷했고 500보다는 낮은 것으로 나타났다. 즈딩테크는 2020년 8월 1일 이전에 조성된 전체 공모펀드의 최근 자산규모를 가중계산해 최근 1년간 펀드 실적에 대해 분석했다. 이 분석에 따르면 7월 31일 기준 액티브 혼합형 테마펀드 1년 수익률은 약 17 패시브 주식형 테마펀드 1년 수익률은 약 15 액티브 주식형 테마펀드 1년 수익률은 약 8였다. 같은 기간 300과 500의 1년 수익률은 모두 3 수준에 불과했다.즈딩테크 설립자인 류샹펑은 이 분석 결과는 전략이 장기 투자에서 초과 수익을 얻을 수 있다는 걸 어느 정도 보여주는 것이라고 설명했다. 즈딩테크는 분석한 테마펀드의 최근 3개월 수익률을 보면 1개월 수익률과 마찬가지로 300과 500 사이에 있으면서 기본적으로 시장수익률과 비슷한 흐름을 보였다. 액티브 혼합형 테마펀드 수익률은 약 1 패시브 주식형 테마펀드는 약 3 액티브 주식형 테마펀드는 약 3였다. 같은 기간 500 수익률은 약 3 300은 약 6였다.탄소 중립 에너지 절약 청정 생산 등 최근 중국 정부의 친환경 정책 추진으로 범펀드의 초과 수익은 더 확연하다. 중신증권 통계에 따르면 2021년 7월 이 유형의 펀드는 절대 수익률에서 우수한 실적을 거뒀으며 인덱스형 펀드가 가장 높은 수익률을 기록한 것으로 나타났다. 저탄소 및 친환경 개발 개념 펀드 중 인덱스형 펀드가 절대수익률 9.87로 가장 높았는데 300과 500 대비 초과수익이 각각 17.77 9.92였다.
25,도레이첨단소재사장 전해상는 국내 최초로 염색공정이 필요없는 친환경 아리미드 원착사를 양산한다고 17일 밝혔다.염색을 하는 대신 폴리머에 안료를 투입해 고유 색상을 발현하는 방식이다. 원료단계부터 착색이 돼 있어 색상 발현이 가능한 셈이다. 다량의 물을 사용하는 염색공정이 추가로 필요하지 않아 수자원 절약과 염색처리 비용과 시간을 줄일 수 있다. 또 햇빛이나 세탁 등 외부요인에 의한 색상 변형이 적은 안정정도 갖고 있다.도레이첨단소재는 아리미드 사업에 지속적인 투자와 축적된 기술력을 바탕으로 원착사 양산에 성공함으로써 아라미드 원면 피브리드 페이퍼에 이르는 고도의 제품구조를 갖추게 됐다.
26,르노삼성자동차와 링크앤코 가 친환경차를 공동 개발한다. 링크앤코는 지리자동차그룹과 볼보자동차그룹의 합작투자로 설립된 글로벌 자동차 브랜드다.르노그룹은 9일 중국의 최대 자동차그룹 지리홀딩과 파트너십을 맺고 조인트벤처를 설립한다고 발표했다. 이어 중국시장에서는 르노브랜드 하이브리드 승용차를 출시하고 한국시장에서는 르노삼성 주도로 링크앤코의 친환경 신차를 개발할 계획이라고 밝혔다. 르노삼성자동차가 부산공장에서 생산한 주력모델 3의 유럽수출을 위해 선적하는 모습. 사진 르노삼성자동차 제공르노그룹 관계자는 향후 조인트벤처 프로젝트 모델을 기반으로 한국소비자 취향에 맞는 친환경차를 르노삼성 연구개발진이 독자 개발할 것이라며 한국시장 판매뿐 아니라 수출까지 확대하는 방안을 구상하고 있다고 말했다.국내 완성차업체 관계자는 미래 신차 프로젝트를 갈망해온 르노삼성은 이번 협약을 통해 르노그룹의 아시아 최대 파트너로서 입지를 공고히 다질 수 있는 기회가 생겼다고 평가했다.이어 신차 개발에 3년 이상 소요되는 점을 고려하면 르노삼성이 개발할 신차는 2024년 하반기2025년쯤 가시화될 것으로 기대된다며 하이브리드차를 먼저 개발한 후 추세에 따라 전기차로 확대할 가능성이 크다고 내다봤다.르노삼성과 링크앤코가 공동개발할 친환경차는 주력모델 3 이후 마땅한 성장동력이 없는 르노삼성 입장에서 미래먹거리를 확보할 중요한 지렛대가 될 전망이다. 르노삼성 부산공장의 안정적인 일감 확보와 일자리 창출 효과가 기대되기 때문이다. 다만 르노삼성 입장에선 현재 진행 중인 노사 임단협 협상을 평화적으로 조속히 해결하고 향후 안정적인 생산 공급능력을 보증하는 일이 선결과제로 요구된다. 그래야 르노그룹 입장에선 르노삼성의 신차개발 참여 범위와 부산공장 신차 생산물량 규모를 최대한 반영하지 않겠냐는 분석이다. 현재 르노삼성은 2020년 임단협 노사 협상이 1년 이상 진행 중이며 올 상반기 200시간 넘는 파업으로 하반기 안정적인 3 유럽수출 물량공급 여부가 변수로 남아 있다. 2020년 임단협을 아직 끝내지 못한 르노삼성 노사는 이번주 본교섭을 재개할 것으로 보인다. 앞서 사측은 2020·2021년 임단협 통합 교섭을 요구했다.그나마 서바이벌 플랜의 핵심 모델인 3의 유럽수출 물량 확보에 차질이 생기면 안 된다는 점에 노사 모두 공감대를 형성하고 있는 점은 향후 협상에 긍정적이다. 르노삼성은 지난 6월 유럽 28개국에서 본격적으로 3 판매를 시작하며 7679대를 수출한 데 이어 7월 한달간 4863대를 수출했다. 반도체부품 공급이 차질없이 진행되고 부산공장의 안정적인 생산공급이 유지된다면 올해 누적 6만대 수출까지 기대하는 분위기다. 한편 중국 지리홀딩그룹은 1997년 국유기업 자동차 공장을 인수하며 본격적인 자동차 회사로 부상했다. 2007년 영국 택시 제조회사 마그네스 브론즈 2010년 스웨덴의 고급 자동차 회사 볼보를 각각 인수했으며 2016년 볼보와 합작으로 글로벌 고급 브랜드 링크앤코를 출범시켰다. 링크앤코는 지난 6월 볼보 플랫폼을 기반으로 성능과 가격이 혁신적인 플래그쉽 09를 발표하는 등 주목받고 있다.
27,유럽연합이 올해 3월 기업의 환경·사회·지배구조와 관련한 지속가능금융 공시규제를 시행한 이후 유럽 자산운용업계에 변화가 일고 있다. 투자자산에서 친환경으로 위장한 그린워싱을 제거하기 시작한 것이다. 17일 블룸버그 통신 보도에 따르면 캐피탈 마켓 의 애널리스트인 맨딥 자그팔 은 지속가능금융 공시규제가 업계 전반에 걸쳐 정의를 일관되게 적용하려는 목적을 달성하기 시작했다며 새로운 규제에 대한 의미 해석에 약간의 차이가 있을 수 있겠지만 자산관리사들은 이제 어떤 것이 환경 사회 및 지배구조 투자로 분류될 수 있을지와 분류돼야 하는지에 대해 제고하고 있다고 말했다. 유럽 자산운용업계는 최근 2년간 조성된 2조달러로 추정되는 자산에서 라벨을 제거하는 작업을 진행하고 있으며 자산 규모는 점차 줄어들고 있다. 3월부터 시행된 유럽의 에는 탄소 배출 사업에 자본 투자를 하지 못하도록 정책 입안자들이 강력한 의제를 설정했고 자산관리사들의 포트폴리오에 지속가능성과 관련된 메시지를 문서화할 것을 요구하고 있다. 자그팔은 자산운용업계 전반에 걸쳐 라벨링 무효화가 계속될 것으로 예상된다고 말했다. 지난해 슈로더투자신탁운용 이 실시한 여론조사에 따르면 기관투자자 650명 중 60는 투자전략의 환경적 이익이 과장되거나 허구임을 뜻하는 그린워싱이 지속가능성 목표를 가로막는 가장 큰 요인이라고 답했다. ▶ 자산 과대포장 유럽 자산운용사들 변화 시작 으로 이어짐
28,에코플랜트가 친환경 산업단지 조성사업을 추진하며 경영 강화에 나선다. 에코플랜트는 충청남도 예산군과 예산 조곡 그린컴플렉스 조성사업을 위한 양해각서를 체결했다고 9일 밝혔다.에코플랜트는 건설투자자로 고용 창출과 생산 유발을 예산군은 특수목적법인에 직접 참여해 행정 지원을 담당한다.예산 조곡 그린컴플렉스는 충남 예산군 신암면 조곡리 일원에 약 140만㎡약 43만평 규모로 조성된다. 2025년 준공 목표다. 이 단지는 수도권 전철 1호선 장항선과 개통 예정인 서해선 복선전철 및 서부내륙고속도로 등 광역 교통망을 갖추고 있어 물류 유통에도 강점을 보이고 있다. 특히 미래 핵심산업으로 주목받고 있는 바이오헬스케어 수소전기차 부품 등과 연관된 첨단기업을 유치하는 친환경 단지로 조성될 계획이다. 단지가 준공되면 5400여개 일자리 창출과 3조6000억원 생산유발 효과가 나타날 것으로 기대된다.이형원 에코플랜트 에코비즈니스부문장은 이번 양해각서 체결을 통해 예산군과 함께 친환경 산업단지 조성사업을 본격 추진하기로 뜻을 모았다며 에코플랜트가 경영 행보에 속도를 내고 있는 만큼 친환경적이고 지역과 상생하는 단지를 조성할 수 있도록 노력할 것이라고 밝혔다.
29,에스원대표 노희찬은 5일 환경·사회·지배구조경영을 선포했다고 밝혔다.에스원은 이를 위해 올초 테스크포스를 발족해 3개월간 경영을 준비했다. 지난달 29일 이사회를 거쳐 위원회를 신설했다.에스원은 구체적인 실천 과제로 △출동차량을 친환경차로 교체하는 그린 모빌리티 △보안기기 폐기물을 재활용하는 에코패키지 △사회공헌 활동강화 △상생문화 조성을 선포했다.에스원은 이를 통해 2050년까지 탄소배출을 제로화한다는 방침이다. 우선 사내 업무용 차량 전체를 2030년까지 친환경 차량으로 전환할 예정이다. 일부 사업장 출동용 차량으로 전기차와 전기 이륜차를 시범 도입해 순차적으로 전기차를 확대한다. 2040년까지 전국 모든 출동용 차량 1500대를 친환경차로 전면 교체한다. 보안기기 폐기물을 재활용하고 기존 패키지를 친환경 소재로 교체하는 에코패키지 활동에도 적극 나선다. 현장에서 사용하다 렌탈 후 회수하는 보안기기는 한해 100만대 약 2000톤에 달한다. 에스원은 아산에 위치한 물류센터 재활용 시스템을 활용해 폐기물 양을 줄일 계획이다. 보안기기 출고시 사용하는 포장재도 친환경 소재로 교체한다. 에스원은 청소년들의 진로 진학을 지원하는 에스원 아카데미 교정시설 청소년들이 건강한 사회인으로 성장할 수 있도록 돕는 희망장학금 사업을 확대키로 했다. 또 협력사가 스스로 현황을 점검하고 실천할 수 있도록 돕고 필요할 경우 경영 노하우를 공유해 업계 전반에 가치가 확산될 수 있도록 지원할 계획이다.에스원은 위원회를 설립한 만큼 무늬만 경영이 아닌 실질적인 실행전략으로 결실을 이뤄나갈 것이라며 업계는 물론 협력사를 아우르는 경영을 통해 선도기업으로서의 면모를 보여주겠다고 밝혔다.
30,. 1218381 . ...12. ...12. ...12. ...12. ...12. 0.6 1218381. 1218381 . 현대오일뱅크가 이앤씨와 손잡고 친환경 건축소재 사업에 진출한다.현대오일뱅크는 12일 서울 중구 현대오일뱅크 서울사무소에서 이앤씨와 ‘탄소저감 친환경 건축소재 사업 협약’을 체결했다.두 회사는 정유 부산물인 탈황석고와 이산화탄소를 활용해 탄산화제품을 생산하는 탄소포집·활용 설비를 구축한다. 2022년 충남 서산에 있는 현대오일뱅크 대산공장 내 연간 10만 탄산화제품 생산 공장을 짓는다. 생산량을 연간 60만까지 늘릴 계획이다. . 000 119 1 . . . 5075100125150175200300400 .현대오일뱅크는 탈황석고를 연간 50만 정도 재활용하게 된다. 탄산화제품 1당 이산화탄소 0.2를 포집·활용할 수 있어 연간 12만 탄소배출을 줄일 수 있을 것으로 기대된다. 이는 소나무 1000만 그루를 심는 효과와 맞먹는다.이렇게 생산한 탄산화제품은 시멘트 콘크리트 경량 블록 등 건축자재 원료로 공급한다. 석회광산에서 석고 탄산칼슘을 직접 채굴하는 것보다 자연 파괴가 적다는 장점이 있다. 이앤씨는 플랜트의 설계 구매 시공에 참여하며 이렇게 만든 제품을 친환경 시멘트 콘크리트 등을 건축 토목 사업에 활용한다는 방침이다. 현대오일뱅크 관계자는 “온실가스 저감 자원 재활용 환경 보존을 동시에 실현할 수 있는 방법”이라고 말했다.오경진 기자 3..
31,▲ 한영석 현대중공업 사장 세계 1위 조선업체 현대중공업이 다음달 유가증권시장 상장을 위한 증권신고서를 10일 금융위원회에 제출했다고 밝혔다. 상장을 통해 조달한 재원은 친환경 미래사업 투자에 쓰일 예정이다.현대중공업의 총 공모주식수는 1800만주로 1주당 희망공모가액은 5만 20006만원이다. 공모 자금은 최대 1조 800억원 규모에 달한다. 공모주식은 구주 매출 없이 전량 신주로 발행한다. 다음달 23일 기관투자자를 대상으로 수요 예측을 실시해 공모가를 최종 확정한 뒤 78일 일반 공모청약에 나서 다음달 상장 절차를 마무리할 계획이다.현대중공업은 현재 개발하고 있는 수소·암모니아 선박 전기 추진 솔루션 가스선 화물창 개발 등 무탄소 시대를 대비한 친환경 선박 연구개발에 쓸 예정이다. 아울러 인공지능 기반 스마트선박과 자율운항 기술도 고도화할 계획이다. 업계에서는 현대중공업이 조달한 자금으로 인수합병 등을 통해 연료전지 사업에 진출할 수도 있다는 전망을 내놓기도 한다. . 000 119 1 . . . 5075100125150175200300400 .현대중공업은 최근 조선업황이 개선되고 있다는 점도 상장에 호재로 작용할 것으로 기대했다. 영국의 조선해운 시황분석기관인 클락슨리서치에 따르면 선박의 가격 추이를 나타내는 선가지수는 지난달 말 143.68 포인트를 기록하며 지난 1월127.11 포인트보다 13 이상 상승했다. 현대중공업은 올 상반기 조선해양부문에서 72억 5000만 달러를 수주하며 연간 목표액72억 달러를 초과 달성했다.현대중공업은 그룹이 2019년 중간지주사 한국조선해양 체제로 전환하는 과정에서 기존 법인의 사업부문을 물적분할한 회사다. 한영석 현대중공업 사장은 “조선산업의 패러다임이 친환경 중심으로 재편되는 가운데 새로운 기회를 맞아 이번 공모 자금으로 미래 기술에 선제적으로 투자해 세계 1등 조선기업의 위상을 공고히 할 것”이라고 말했다.오경진 기자 3..
32,. 1218568 . ...12. ...12. ...12. ...12. ...12. 0.6 1218568. 1218568 . ▲ 12일 서울 중구 신한은행 본점에서 직원들이 폐현수막을 재활용한 장바구니와 공기정화식물인 스투키 다회용기인 텀블러를 들고 ‘신한 실천 빌딩’ 선언에 동참하고 있다.신한은행 제공 신한은행은 ‘환경·사회·지배구조’를 실천하는 문화를 만들기 위해 은행 내 모든 공간을 ‘신한 실천 빌딩’으로 선언한다고 12일 밝혔다. 신한은행은 본점 구내식당 도시락 용기를 친환경 제품으로 교체하고 건물 내 친환경 건축자재 사용을 30까지 확대한다. 고객에게 제공하는 사은품을 친환경 장바구니와 공기정화식물 같은 친환경 제품으로 바꾼다. 임직원을 대상으로 ‘ 실천 가이드’를 공유한다. . 000 119 1 . . . 5075100125150175200300400 .
33,광양 고순도 니켈 정제공장 2023년 완공연산 2만… 전기차 주행거리 핵심 원료수산화리튬 2023년 생산하면 첫 국산화 . 1213930 . ...12. ...12. ...12. ...12. ...12. 0.6 1213930. 1213930 . “철강 기업이야 배터리 소재 기업이야.”포스코그룹이 최근 전기차 배터리 소재·원료 사업에 사력社力을 다하고 있다. 철강 사업만으론 미래 시장에 대응할 수 없다는 판단 아래 친환경 소재 기업으로 변신을 꾀하고 나선 것이다. 최정우 회장은 “포스코를 존경받는 100년 기업이 되게 하겠다”며 미래차를 중심으로 한 신사업 육성을 위한 과감한 투자에 나서겠다고 공언했다. . 000 119 1 . . . 5075100125150175200300400 .포스코는 28일 2300억원을 들여 ‘고순도 니켈’ 정제 공장을 전남 광양제철소 인근에 신설한다고 밝혔다. 배터리 양극재에 들어가는 니켈은 전기차 주행거리를 좌우하는 핵심 원료로 순도가 높고 함유량이 많을수록 1회 충전 시 주행거리가 늘어난다. 포스코는 계열사 가 제련하는 중간 생산물 ‘니켈매트’를 습식정제해 순도 99.9 이상의 고순도 니켈을 만들어 판매할 계획이다. 공장은 2023년 완공된다. 생산 규모는 연 2만으로 전기차 50만대에 공급할 수 있는 양이다. 포스코는 지난 5월 호주의 니켈 광업·제련 전문회사 레이븐소프 지분 30를 인수하면서 안정적인 니켈 공급망도 확보하게 됐다.포스코는 최근 리튬생산 법인 ‘포스코리튬솔루션’을 출범하고 전남 광양 수산화리튬 공장 착공식을 개최했다. 리튬은 배터리의 성능을 결정하는 양극재 핵심 원료로 전량 수입에 의존하고 있다. 포스코가 2023년 수산화리튬을 국내에서 생산하게 되면 첫 국산화를 이루게 된다. 생산 규모는 연 4만 3000으로 전기차 100만대 분이다. 아울러 포스코는 리튬 매장량이 확인된 아르헨티나 염호에도 2만 5000 규모의 공장을 연내 착공할 계획이다.포스코케미칼은 세계에서 유일하게 배터리 음극재와 양극재를 동시에 생산하는 기업으로 주목받고 있다. 양극재 공장은 전남 광양과 경북 구미에 음극재 공장은 세종에 있다. 포스코케미칼은 지난 8일 경북도·포항시와 투자협약을 체결하고 포항에 연산 6만 규모의 양극재 공장을 짓기로 했다. 포스코인터내셔널은 전기차 핵심 부품인 구동 모터코아 생산 확대를 본격화했다. 전기차 배터리 소재와 원료 생산 체제를 모두 갖춘 포스코는 전기차 제품·솔루션 통합 브랜드 ‘이 오토포스’까지 출범했다. 재계 관계자는 “포스코의 배터리 소재·원료 사업 확장을 위한 투자 활동은 하반기에 강화될 것으로 보인다”면서 “음극재에 들어가는 흑연을 생산·공급하는 기업의 지분을 인수하거나 해외공장 설립 계획을 본격화할 가능성도 있다”고 전망했다.포스코는 이런 사업 체질 개선 노력을 바탕으로 올해 2분기에 역대 최고 수준인 2조 2010억원의 영업이익을 올렸다.이영준 기자 ..
