,본문
0,모든 남자아이돌 옷장과 협찬에서 비니와 벙거지를 없애주세요 환경오염입니다 지구야미안해
1,쓰레기를 버리지말자는 주장에 환경오염과 환경미화원의 노고를 생각하면 옳은비판이었다고 논쟁을 종료하자는 사람들이 아니라 그걸 쓰레기를 버린 나에대한 공격으로 간주하고 불쾌감을 느낀 사람들이 쓰레기를 버릴 권
2,환경오염때문에 온거면 환경주제도꺼낼수잇어요
3,그래서 쓰레기를 무단투기하지 말라는 주장이 타집단에서 나오면 그게 옳다고 동의하는게 아니라 쓰레기를 무단투기해서 그걸 지적당한 자신들의 불쾌감을 우선시하며 쓰레기를 버릴 권리를 주장하며 자신이 논쟁 아니
4,공룡행성에서 왜왓어요 환경오염때문인가요
5,내가 매번 꿈꾸면 저런 미래사회 나오는데 전국팔도가 테마파크처럼 돼서 고속도로를 타면 돈을 내는게 아니라 내리면 그지역 입장권을 끊어야 돼 부도난 건물이 즐비한 테마도시도 있고 환경오염 테마도시도 있음 침수된 도시도 있고
6,현장포커스 인천 대무의로 농지성토 공사장 관리 감독 절실 인천 대무의로 일대 유수지 앞 농지성토 공사 현장의 환경오염 방치에 대해 인근 주민들이 행정기관
7,지구 이대로 괜찮은건가 전세계에 역병에 화재에 시위에 환경오염에 난리가아닌데
8,기후정의를 말하다 기후변화 와 인종차별 은 맞닿은 문제 비즈트리뷴 마이크로소프트 측에 따르면 환경 불평등과 인종차별 간의 연관성은 세기에 일어난 환경오염
9,교수님이 원하는 답은 환경오염을 줄이기 위해서 였는데
10,그렇네 고기먹으면 환경오염
11,걍 포카만 팔아라 환경오염이에
12,썩다못해 환경오염까지 ㄷㄷ
13,살의 나 다이치 하 왜 인생아 있을까 사람이 있을까 인간이 없으면 환경오염도 안될텐데 한숨 아놔 중 병 오진다
14,배양육 동물애호 비건 축산업에서 발생하던 환경오염과 동물윤리 문제 해결될 수 있을까요
15,나는 여기 산다는 이유로 종종 숨쉴 때마다 기후세 내는데 운좋기 좋은 환경에 태어나 살면서 자국들에서 어떤 식으로 환경오염을 남의 나라에 떠넘기는지 생각도 않고 터진 입이라고
16,저도 사본 적은 없지만 기름값 쫌 싼 거 외에는 장점은 없는 것 같아요 소음과 승차감때문에 사시면 후회하실 듯요 특별한 목적이 있으면 모를까 환경오염도 그렇고 전 비추입니다
17,저런 하수구 음식물쓰레기 처리기 쓰면 안됌 환경오염 다른집 하수구 막혀서 민폐오지게 줌 그리고 불법임
18,뭐 그런데 결국 로켓 발사장이란게 말 그대로 환경오염의 극치라 환경 반대론자들에게 이야기 될 수 밖에 없는 지점은 있다 봅니다
19,자차 그만 타고 대중교통 이용하자고 환경오염 어쩌구하는 사람은 아침 시 저녁 시 지하철 버스 안타본 사람이 분명함
20,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가 가운데
21,아 삶 취준 인생 미래 그런 거 모르겟고 어제는 배수아 푸른 사과가 있는 국도 읽따가 어라라 누가 내인생 스포일러를 해놧네 싶어서 굳이 내가 삶을 한번 더 살 필요가 잇을까 일종의 환경오염을 실천하는 것이 아닌가 그런 생각을
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ말만 상냥할 것 같은 ㅋㅌㅋㅌㅋ 당신이 하는 짓은 환경오염이에요
23,환경오염시키면 브룽이라 아파요 바다에 쓰레기를 버리지 마세요
24,완전 완전 타래 다 읽어봤는데 진짜 너무 갓커에요 환경오염에 대한 메시지를 커뮤에 녹아든게 너무 멋있어요
25,시발날투디세카이로보내주ㅏ 그럼적어도거기엔환경오염이없지않을까 환경오염이 걱정된다면 우에키의법칙에 들어가서 우에키를 환경운동가로 키워내기
26,집에 장난감 개잇는데 어떻게 모든게 싫은거니 얘들아 환경오염 그만하고싶어 죽여줘
27,환경오염 오타쿠
28,코덕 맴찢영상 왜 어ㅐ 만드는거임 볼때마다 환경오염밖에 생각 안나
29,그렇죠 저도 옛날에는 그런 환경오염 포스터를 그리기도 했는데 딱히 미술에 재능이 있던 건 아니라서 상은 타지 못했지만 말입니다 먼 하늘을 바라보며 작게 웃고는 그렇겠죠
30,그건 환경오염이 아닐까요
31,그새끼들이 재활용하는게 환경오염 막는데 제일 효과적
32,지구가 의지를가지고 환경오염시키는 나라를 조진다면 순위 순위는어딜까
33,비닐라벨이 전체에서 위쪽으로만 붙어져서 환경오염이 덜해요 가 한국어발음 라이트 로 재탄생했어요 블랙보리 글씨체가 바뀌었어요 라벨이 바뀌면서 하이트진로가
34,환경오염 이야기도 그렇고 사람이 더 태어나봐야 좋은 거 없다 싶고 뭐 이런 이야기 하면 이상한 눈초리 하는 사람 많을듯하지만ㅋㅋ 애기 있는 분은 계속 애기 자랑하고 진짜 관심 도
35,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔 양쪽 악행
36,여기에 각종 환경오염으로 인한 기후위기까지 디스토피아가 가까워 지는건가 싶어요 ㅠㅠ
37,왜 내가 해피밀 시킬 때는 환경오염에 한숟 얹었다는 마음의 죄책감만 들게하더니
38,남한에도 우라늄 매장량이 경제성있을 것으로 예상되어 광산개발 추진된 지역이 여럿 있지만 지방정부가 환경오염등을 우려해 금지한 상태
39,착한 그런가 이어지는 네 말에 잠시 고민하고 음 구하는 역할 뭐 아픈 친구 보건실에 데려다주기 이런것도 구하는거에 포함되는건가 아님 실수로 발 헛딛인 친구들 잡아주기
40,세계 제 경제 대국임에도 불구하고 미국 서민들은 왜 점점 가난해지는가 그 세금 다 어디로간거 자유 민주주의 정의의 이름으로 전쟁무기 마음껏 사막에 뿌리면서 누구 배불려준거 지구 환경오염 어쩔
41,아 환경오염 지금당장쓰레기주으러겟아웃
42,환경오염보단 환경의 복수같긴한데요
43,플라스틱사용과다로인한환경오염 보
44,텀블러 선물이 여기저기서 너무 많이 들어온다 환경보호를 위해서 텀블러를 쓰라지만 인장 텀블러 개 이상이면 환경오염에 더 가까운 거 아닌지
45,나갑지기겸뱀이넘좋은걸 범죄자아기 이 문제아들이 저지르는일 길고양이들과 환경오염 대책 회의 설빙 가서 떡볶이 주문하기 인형뽑기에 만원쓰기 주유소에서 인스타사진찍기
46,수제장인정신의계승으로지구환경오염과재활용장신구적극사용하기를같이소통과협력해보기를바랍니다
47,헐나도가리비자살했다는줄알고 환경오염문제가심각하구나 하면서 주의깊게바라보니까 깔끔하게 손질된 가리비 관자살이었음
48,씨스피라시 재밌다 환경오염은 어업의 쓰레기와 남획 때문임 근데 환경사업이 돈이 되니까 쉬쉬하는 거지 겨우 플라스틱 빨대 때문이라면서 애초에 어업이 사라지면 일자리가 없으니까 근본적 해결방안
49,이딴걸 만든새끼나 돈받고 파는새끼나 돈주고 사는새끼나 대가리에 뭐가처들은거야 씨발 다이어트를 할것같으면 콜라를 처 마시질 말던가 제로콜라를 마시던가 소용량 마실거면 캔콜라는 장식인가 벌레같은새끼들 환경오염주범이여
50,탄소 배출과 환경오염 자원 고갈에 대한 비용이 경제성장 지표엔 계산되지 않는다 행복 사랑 아이와 엄마와의 밀착 관계 걸어다닐 수 있는 동네 시간의 흔적이 묻은 건축물 신뢰 용서 서비스를 잘 해주는 단골 가게 주인의 가치도 말이다
51,알파고 있는데 왜 환경오염 시키면서 숨 쉬어 당장 죽어
52,더위로 인해 해수온도가 올라 물고기들이 폐사한다 정상적인 해결법 해수온상승 등 이상기후의 원인이 되는 환경오염을 막는다 인간들의 해결법 고수온 버틸 수 있는 품종을 개발한다 와 인간들 너무
53,환경오염을 안시키려면 자살 이 가장 빠르겠습니다만 실제로 이걸 바라시진 않겠고 해결을 해야겠죠 다들 저렇게 비판해도 당일 새벽배송 없으면 화낼분들 많고
54,지인이 마녀캐 짜줬다 신나서 허버허버 그림 강을 사랑하는 마녀 환경오염때문에 요즘은 성격 더 더러워졌다고 합니다 춋또 마녀쿤
55,나 대통령되면 릴스랑틱톡없애고 인스타 유머계정 다터트려줌 먹방한답시고 환경오염 존나하는거 사형 ㄴ중국이랑다를게뭔가요
56,신고지라 자체도 고지라 대 헤도라에 대한 오마주가 들어가 있죠 고지라의 핵 은유를 환경오염 으로 전유하고자 시도한 게 고지라 대 헤도라였는데 이걸 다시 원자력으로 인한 재난 으로 전유를 시도한 게 신고지라니까요
57,아니 미장원 온세상 무스랑 스프레이 팡 머리에 쏟아부었냐구여 환경오염의 주범이 여기있었네
58,마이바니가 환경오염의 주범이었다니
59,동물은 죽으면 일반쓰레기로 종량제봉투에 넣어서 버리는게 원칙적으로는 그렇다매 진짜너무하다 물론 환경오염때메 땅에묻는거 안좋은건알겟는데ㅜㅜ
60,마치 길가에 담배꽁초를 버린 사람한테 가서 지금 니가 하는 행위가 환경오염을 일으킨다는 점에서 핵발전소를 폭파시켜 방사능을 유출시키는 테러범이랑 뭐가 다르냐 고 고래고래 소리지르는 느낌입니다
61,야이씨발색히들아 차 타지말고 버스나 타 이 환경오염의 주범자들아 좆같은색히들아
62,이메일 삭제했을때 환경오염에 도움된다는 말을 혐오 하는편
63,이제 정치트윗은 안할려하지만 이 얘기는 마지막으로 꼭하고싶어요 뭐만 하면 환경오염탓하는데 어떤 논리로 저러는지 모르겠어요 또 싸드들고와서 전자파가 인체에 유효하다하면서 떠드는 것을 상상
64,오늘날 우리에게 일용할 전기차를 주옵시고 우리에게 내연기관차를 사하여 준 것
65,불태우는것도 환경오염이야
66,남대표고 환경오염이고 다 떠나서 떠날수없다는걸알지만 애초에 브라를 월마다 하나씩 받을 이유가 있나요 필요한 제품을 필요한 때에 구매하면 되지 않나요
67,칭찬받고싶은데 딱히 잘한게 없는것 같아요 그럼 아무거나 말해봐요 나 오늘 밥 꼭꼭 잘 씹어서 안남기고 먹었어 뭐 그런거라도요 편식 안한게 왜 칭찬받을일이 아니예요 세계적으로 심각한 환경오염을 줄이
68,가족도 환경오염이라 그랬는데 감동이에요
69,느아아아아아아 뇌에든것도없는씨발롬들아너희야말로지구오염이다환경파괴주범들아전부군대다녀오고하나둘씩기력을잃으면서샤워하다가비누밟고뇌진탕으로뒤졌으면좋겠어죽어서화장하는것도환경오염이니까전부땅속에생매장해서물티슈마르듯이서서히죽어갔으면좋겠어너희는존재자체가악이야
70,지구는 미래 기준으로 먼 과거에 지속되는 환경오염으로 인해 버려져 지구에서 멀리있는 행성인 코드 로 이주하였고 저희는 이곳을 코드육사라 부릅니다 정리하자면 현재 이 지구는 버려
71,환경오염이 걱정이면 불필요한 낭비는 환경을 오염시킨다 에 핀트를 맞추고 왜 남자가 여자 속옷을 파냐 라고 뭐라 하고싶으면 그냥 그런거지뭐 무작정 욕하기엔 사람은 살아있는 자체가 환경오염임 내가 보는
72,근데 화장 다시 하고싶을때도 있는데 화장품 너무 비싸 ㅋㅋㅋㅋ 그래서 진짜 안하게 됨 ㅋㅋㅋㅋ 화장하면 지우는데도 환경오염이잖아 그래서 더더욱 안하게됨
73,용암에 사람이 들어가면 태우거나 매립하는 것보다 환경오염이 안되지 않을까 걍 사라지지 않음 용암은 몇명까지 커버 가능할까
74,진짜 그냥 뭐 복권같은걸로 하면 안되나 우리 너무 환경오염 주범 아니냐구
75,승차호출 기술 발달로 아끼게 된 에너지나 감소된 환경오염도 상당하지 않을까 아니면 걍 콜은 콜대로 키고 옛날과 다를바앚ㅅ이 정처없이 돌아다니는건가
76,공용킥보드 진짜 웃기지 말라 그래 요즘 길 가면 사방이 다 킥보드밭이야 진짜 징글징글해 타고다니는 놈들은 뭐 헬멧 착용하고 이러는 것도 아니고 인도에서도 부와앙 이지랄하는데 이거 규제 안하냐고 그리고 나중에
77,공무원 급환경직공무원 각종 환경오염으로부터 우리 국토를 보전하는 임무
78,도쿄 올림픽에서 일본의 탄소감축을 위한 노력은 효과가 있었을까요 그 결과를 알고 싶다면 구독과 좋아요 부탁드려요 탄소배출 도쿄올림픽 도쿄올림픽 올림픽 환경 환경오염
79,이 트윗은 절대 구제 공포조장아닙니다 당장 저는 오늘만해도 구제옷 세벌 샀습니다 오염이 너무 심하지 않는이상 절 대 이상한귯에서 떼온 옷이 아닙니다 ㅎㅎ 환경오염방지에 힘써주세요 구제는 정말 오랫동안 입을수있는 옷입니다
80,구제옷만 년째 사고있는 여성의팁 환경오염때문에 싸레기가 넘쳐나는지금 구제옷사는건 진짜 잘하는겁니다 개쓰레기잡유머에넘어가지말구 신조를 지켜주세요 만약 사고난뒤 가위에 눌린다면 침대밑에 가위나 칼을 두면 가위에 눌리지 않습니다
81,아니 와타나가시 축제 이거 너무 환경오염적이에요 배경이 년이긴한대
82,환경오염
83,하 나중에 죽게되면 꼭 바다에 뿌려지고싶었는데 그럼 환경오염이라매 편히 죽지도못하는
84,약간 미디어 환경오염 숫자로 보게된 것 같다
85,갈매기 똥으로 뒤덮인 태양광 환경오염의 원인이 된 태양광 정권교체가 없으면 국민혈세는 더욱 심하게 낭비될 것이다
86,귿데 포카뒤에 멘트 맘에들면 양도받으러다닐거같애 환경오염에한발짝
87,공용킥보드 진짜 웃기지 말라 그래 요즘 길 가면 사방이 다 킥보드밭이야 진짜 징글징글해 타고다니는 놈들은 뭐 헬멧 착용하고 이러는 것도 아니고 인도에서도 부와앙 이지랄하는데 이거 규제 안하냐고 그
88,양황 아이돌황의 혼모노오타쿠 양짱인 고삼때 황네 그룹 길바닥직캠 하나 보고 꽂혀서 덕질 시작함 황연진 포카는 모조리 매입하고 부산 사는데 앨범 백장씩 사서 팬싸도 꼬박꼬박감 중박도 칠랑말랑인 그룹 뭣하러 백장씩이
89,슬퍼하지마환경오염을막는것부니야
90,하 엄마가 엊그제 앨범 버리면서 쓸데없이 앨범 여러개 사지말라고 환경오염이라고 머라햇는데 ㅡㅡ
91,천미터급 세계적 고봉들이 즐비한 히말라야 산맥들과 연결되어 있는 티벳고원 거기에서 중국 동쪽의 해안가까지는 완만한 지대가 아니라 거의 폭포같이 급격한 경사를 가짐 치수는 언제나 문제이고 공업지대는 해안가에 몰
92,역병도 환경오염도 세계 몇 개국의 책임인데 지구 나눠 쓴 죄로 너무 가혹하다 동네 인도인 얘기를 들었는데 대 친구들 중 절반이 죽었다고 친인척은 말할 것도 없고
93,에 가려져서 상대적으로 덜 부각되지만 고폭탄류도 제조공정 과정에서 주변 환경오염이 심각한 것들 맨 피부에 흡수되면 두통 나는건 약과고
94,이제 이제 뭐가 등장했는지도 모름 걸어다니는 환경오염폭탄 머리 잘려도 안죽는 좀비 개의 심장이 있는 정체불명의 괴수
95,지구본 입니다 불타오릅니다 환경오염은 나쁜겁니다
96,머리도 씨발 빨리 숱쳐야지 많기는 ㅅㅂ 진짜 무식하게 많아서 엉키고 머리감는것도 촛나 그냥 환경오염의 대가임
97,장 다 보면 읍내에 딱 하나 있는 카페 들어가서 아아 샷 추가 테이크아웃하는데 집에서 챙겨온 락앤락 쉐이커 보틀 모두가 아는 그 파란 뚜껑 에다가 함 요즘 환경오염이 심하대 일회용품 안 쓴다고 장 볼 때도 핸드카트 덜덜 끌고 옴 ㅋㅋㅋㅋ 친환경 도깨비
98,환경오염 걱정하는 에코충인데 애 까는거 노이해 그 플라스틱이랑 물 아껴봤지 님이 낳은 애가 더 유해한데요
99,환경오염 주범 크래커 ㅅㅂ 포카 좀 작작내라
100,아니 신기루처럼 보이는 가상재화로 수익이 나는데 매출이 조 년에 따박따박 조 땅파고 자원 전쟁하고 공업폐기물이네 환경오염이네 고민하지 않아도 년에 따박따박 조 잘만 키우면 이보다 괜찮은 산업이 있나
101,뭔 트위터 비건 트위터 에코페미니즘 어쩌고 트위터 퀴어페미 이런 계정들 남초커뮤 가서 남자 패는 꼴 본 적이 없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여혐도 퀴혐도 환경오염도 남자가 더 심한데 ㅋㅋ 당연함 남자보다 무조건 자주적이고
102,여성주의자 중에서도 건강 챙기면서 비건식 권유하고 공유하는 분들 많음 난 그런 분들은 좋아 여성을 외면하는 게 아니잖음 ㅋㅋ 근데 트위터에서 랟펨이랑 키배면서 성노동론 지지 쳐하는 여혐충들은 진짜 ㅋㅋㅋ 글고
103,귀찮아서 옷 안사는게 아니라 환경오염 막을려고 옷 안산다고 말하기
104,어린아이들한테 너무 각박한거랑 인종차별 글고 환경오염
105,듣지도않을씨디 자꾸 생산해내는거 그거 환경파괴야 그런쓰레기들 만들어내느라 탄소가 얼마나 배출ㄹ되겠어 난 진심으로 저기에드는 자본이아깝고 환경오염걱정됨
106,동물만 안죽인거지 환경오염이라 허위광고 아닌가요 제가 아는 비건레더는 선인장 이런거여서요
107,산불로 인해 생긴 스모그가 공기를 덮어 외부활동을 줄이라고 한다 환경오염으로 인해 더이상 실내활동 밖에 할 수 없는 배경의 소설들이 연상되는데 그게 내 목숨 반경 안의 미래일 줄이야 이런 식이
108,그러나 여성은 인구의 절반이나 되므로 소수가 아니고 사회적 생산과 노동 과정에서도 소수가 아니므로 완고하고 심한 편견쟁이들의 비하 대상일 수는 있어도 혐오의 대상이 될 수는
109,비닐같은 일회용 소재는 안쓰는게 제일이지만 차선택으로 바이오매스 플라스틱 추천드립니다 말그대로 옥수수전분이나 곡류껍질같은 식물성소재로 만든 플라스틱인데요 제조공정부터 탄소배출이 적고 불에 태워도 환경오염
110,요즘 플라스틱이 환경오염의 주범이 되서 다들 내열유리나 도자기류로 많이 바꾸시던데 나도 그랬음 하지만 내열유리랑 도자기는 한국에서 일반쓰레기 폐기물인데다 단일소재가 아니라서 재활용이 많이 힘들고 플라스틱보
111,기후변화와 환경오염에 따른 전세계적인 어획량 감소로 인해 기존의 생활방식을 고수하기 힘들게 된 인스머스의 젊은이들이 침체되어가는 마을을 부흥시키고자 아이돌을 시작하는 이야기
112,너냅킨한장이얼마나환경오염이되는줄알아 그냅킨한장에얼마나많은수고와나무가희생했는지아냐고너냅킨만들어봤어 니가뭘알아
113,아 시팔 우리집 화장실 방음 너무한다 방금 윗집이 방구 뀌고 오늘도 시원하게 환경오염 하는 소리까지 다들림 미치겠네
114,환경오염방ㄷ관죄로 싱고함니다
115,환경오염 생각안하나
116,나는 옷 사는 걸 정말 좋아하는데 패스트패션도 환경오염에 한 몫 한다고 해서 요즘 새옷 사는 거 자제 중 돌려돌려 헤질때까지 입어 ㅏ 하지만 자라 가서 구경하고 싶어 그리고 신발만은 욕심을 버리지 못하였음
117,목욕은 레전드 물낭비 환경오염이다
118,여기도 엘비노네 클나따 환경오염이 문제여써요 흰닥발을 우짠디야
119,환경오염 시발 사람들한테 지랄하지말고 기업에 좀 지랄해 이번에 어디 김이였지 플라스틱 줄여서 판매한거 개잘한거 같음 그렇게 기업이 바뀌어야지 소비자들이 시발 플라스틱 행구고 말려서 분류한다고 살림살이 좀
120,미국에서 콜라에 멘토스만 그만 쳐 넣어도 환경오염 줄어들듯
121,그러나 여성은 인구의 절반이나 되므로 소수가 아니고 사회적 생산과 노동 과정에서도 소수가 아니므로 완고하고 심한 편견쟁이들의 비하 대상일 수는 있어도 혐오의
122,부안군은 아름다운 채석강의 쓰레기관리를 헤주시길 부탁합니다 친환경미래 기후로 끙끙 코로나도 어쩌면 환경오염 기후변화와도 무관하지않을텐데 이 같은 문화 웬말입니까 부끄러운관리 부끄시민의식입니
123,이미 환경오염 할 생각에 뇌에 힘주는걸 포기한자
124,마자 돌앨범 씨디도 안듣는데 환경오염 오져 진심
125,사실 말이 대게 많아가지고 환경오염이라 불법이라는 말도 있으니가 걍 불법이라더라 하고 막아보자
126,문명 군도맵으로 했더니 환경오염 때문에 날이 갈수록 땅이 침몰해서 결국 우주로 도망침ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
127,ㄹㅇ 전세계인구다죽이고 이상한공장환경오염다정리하구 디지는생각함
128,빡대가리들 존나 싫다 공동체의식이라곤 없고 지 기분만 중요한 개똘추들 공기 아까워 살아있는거 자체가 환경오염이니까 멸종했으면 좋겠어
129,이제 나는 눈물도 안난다 아니 정확히 말하면 혼자있을때만 운다 나같은 인간 살아봤자 환경오염이나 더 시키고 메탄가스나 배출하지
130,꾸미기위해 옷을 새로사서 입으면 멀쩡했던 옷을 버리는게 환경오염이 되는데 안그랬으면 좋겠다
131,비트 환경오염 주범
132,되게 빛님 마음에 안들고 나왔어 환경오염 오히려 좋아 스팀펑크 진짜 미쳤다구 자세나 그림은 이쁜데 색감 되게 구려 눈 색도 괜히 스킨에 맞춘 거 같아
133,모두가 타츠마키 씨 같을 순 없으니까요 그러니 우리들 모두 환경오염이 일어나지 않도록 서로 노력을 해야만 해요
134,인간에 의한 환경오염 말하는거지 그렇게 말하면 할말이 없지만 적어도 난 자동차는 타고 다니지 않는걸
135,잘 모르겟음 나는 뭐 헤어스타일을 꼭 어떻게 해야한다고 하면 김연담처럼 하고싶은데 근데 나 염색은 웬만하면 안하기로 마음먹었음 환경오염 오진다며
136,부분적으로 동의한다 자본가는 손해를 감수하고 일대전환 같은 걸 이뤄서 다 같이 살아남기보다는 기후격변과 환경오염으로 천천히 멸망해 가는 세계에서 남들을 희생시켜 가며 버티다가 마지막으로 죽는 쪽을 선택할 것이다
137,자격증 유기농관리사 최근 환경오염과 함께 유기농업의 중요성 알게됨 유망자격증 이젠 귀농의 필수 자격증
138,이건 뭐 환경오염수준 쓰레기 큐브
139,천미터급 세계적 고봉들이 즐비한 히말라야 산맥들과 연결되어 있는 티벳고원 거기에서 중국 동쪽의 해안가까지는 완만한 지대가 아니라 거의 폭포같이 급격한 경사를 가짐 치수는 언제나 문제이고 공업지대는
140,태백시 환경오염물질배출사업장 지도 점검 결과 공개
141,코로나로 인간 존나 죽으면 환경오염 멈춰져서 지구온난화와 해수면 상승을 저지할 수 있는 거 아님 아닌거 아니까 말걸지마
142,환경오염 얘기를 하다가 노하신 게 아닐까요
143,닭은 맛잇고 가장 환경오염이 덜한 고기랬어
144,우리가 스타벅스 종이 빨대 쓰는 것보다 비트코인 채굴로 인해 환경오염이 더 심해질 거 같음
145,앞이나 공공장소라던가 허락 받지 못하는 곳에서 피워서 그렇다구요 흡연은 나쁘다는 생각을 하지만 음주를 하는 시점에서 흡연을 극단적으로 반대하지 않지만 물론 흡연실 간다면 그럼 둘러보
146,사단 낸 아들에 그 아비 장단맞추느라 궁가득한 지전들 보며 문득 환경오염 걱정하는 사람
147,그럼 자연이랑 하나되는 이걸 하자니 뭐라 정의해야 할지도 모르겠다 심각한 환경오염 파괴 지구온난화 이런걸 생각하면 맞긴 맞는데 이건 본론을 너무 벗어나는 느낌
148,스급월드는 좋겠다 무료 쓰레기 처리장도 있고 친환경 대체에너지도 있고ㅠ 재벌공이 폼 잡으면서 미친 소비를 해도 아이 저쉑 또 환경오염 시켰어 같은 생각이 안 드는 유니버스
149,블링컨국무장관님 제임호멜대사별사 삼가고인의명복을빕니다 블링컨국무장관님 각국정상들 채널소통대화당부드립니다 블링컨국무장관님 각국정상들 기후에너지 환경오염 남극얼음 녹고
150,첫번째는 기아문제를 다룬 책인 것 같아요 아직 안 읽고 집에 있어서ㅋㅋㅋ 두번째는 환경오염 기후 위기를 다룬 책이에요 문제적남자에 나오시는 타일러님이 쓰신 책인데 니름 재밌더라고요
151,하도 분리수거 못하니까 정다가 형이 이거랑 이거 구분 잘해서 버리면 환경오염을 줄일 수 있고 어쩌고 지구를 구하는거에요 라고 설명했는데 김션 귀에는 형은 지구를 지키는 영웅 으로 들리고
152,자전거 그림 작문의 모범답안은 어릴때 자전거를 좋아해 선물어쩌고 공원에 자전거를 타러가서 어쩌고 환경오염으로 자전거를 타기를 어쩌고 아주 바람직한데 내가 지은 작문은 주말에 날씨좋아서 룰루
153,환경보호 다큐 봐도 육식할 것 같은 사람들이 물론 난 그 사람들이 비건인지 아닌지 모름 환경을 보호합시다 이러는 것 같아서 답답함 내가 걍 꼬인거지 ㄱ 지구온난화와 환경오염의 주범은 인간의 육식
154,승석이 듀엣을 해야하는 이유 세계평화 환경오염 문제 해결 사람 생명 여럿 살릴 수 있음 승석 떡밥 굶주림 해결
155,차라리 아보카도도 환경오염 노동착취 드립치는 애들이 참신한 편이다
156,이름은 넬 원래 수룡이었다가 환경오염 수질오염 땜에 신체구조가 점차 변형되어가고 있다는 설정
157,저는진짜배드엔딩하면과몰입해버려서심장이무너지고울면서아파트뽑아다눈물닦는데쓰고그러다환경오염으로세계가멸망하고지구가멸망하고우주까지멸망하고
158,오 러쉬 배스밤 쓸 때 마다 반짝이 이새끼 이거 수질오염 이새끼 이랬는데 찾아보니까 천연 운모 랑 거의 유사하면서 환경오염을 하지 않는 합성 운모 를 사용하고 있다고 함
159,다꾸러도 이해불 걍 환경오염
160,순추 화염 장난 아닌데 저거 괜찮은거냐 급 환경오염 될것 같고 그런 기분인데
161,배달음식만 안 시켜먹어도 환경오염 줄일 수 있을 것 같음 진심 회사에서 점심 간식 시켜먹고 나온 쓰레기 보고 충격받음
162,영상매체 소비가 환경오염에 영향준다는걸 처음알았다
163,엔터사들이 마케팅 방식으로 인한 환경오염에 책임의식을 가지고 시스템 좀 바꿨으면 좋겠음 팬싸 응모권을 앨범 수로 치환해 장 장씩 사야 당첨될 수 있는 시스템으로 버려지는 들 뿐만 아니라 랜덤 포카
164,엘바 착한줄 알앗는데 환경오염의 주범이엇네요
165,플라스틱이나 합성섬유가 개발되지 않았다면 일상 물품을 만드는데 농산물이나 천연물질에 의존해야만 하기 때문에 수요에 비해 공급이 많이 달렸을 것이고 가격도 비쌌을 것 다만 환경오염을 줄이고 지속가능한 발전이 가능하도록 화학업계의 노력이 필요
166,코팅종이쓰는건 환경오염 아니냐 빽빽 ㅇㅈㄹ 났는데 코팅종이는 재활용이 된다고요 이 사람들아 듣고 있냐 재활용 된다고 우유팩도 코팅되어있는데 왜 재활용
